1944;0
17083;0
22965;52827
27755;65941
31175;72027
32600;78971
34199;84073
34418;84799
37495;94365
38826;99091
41486;105767
41511;105798
41516;105805
41565;105923
43314;163653
43314;163654
43314;163655
43317;111014
44515;114526
45208;0
45490;117892
45721;118417
46568;120240
47302;162053
49198;126796
49198;126799
49198;126800
49198;126804
49198;126805
49198;126806
49198;126807
49198;126809
49198;126812
49198;126815
51686;134674
55257;152865
55257;152867
55257;152868
55257;152869
55257;152870
56134;153576
56502;159122
56522;159184
56693;160215
56860;0
57052;163612
57251;163042
57368;0
